Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,21002.60,1841.30,44104.20,48884.40,HRB
2021-01-01 00:01:00,21002.30,1841.30,44104.40,48884.40,HRB
2021-01-01 00:02:00,21002.30,1841.30,44104.40,48884.40,HRB
2021-01-01 00:03:00,21002.30,1841.40,44104.40,48884.40,HRB
2021-01-01 00:04:00,21002.00,1841.50,44104.30,48884.20,HRB
2021-01-01 00:05:00,21001.70,1841.30,44104.20,48884.00,HRB
2021-01-01 00:06:00,21002.00,1840.80,44104.20,48884.10,HRB
2021-01-01 00:07:00,21002.50,1840.40,44104.20,48884.30,HRB
2021-01-01 00:08:00,21003.50,1840.20,44104.20,48884.70,HRB
2021-01-01 00:09:00,21003.60,1840.30,44104.40,48884.90,HRB
2021-01-01 00:10:00,21003.50,1840.80,44104.50,48885.00,HRB
2021-01-01 00:11:00,21003.50,1841.20,44104.50,48885.00,HRB
2021-01-01 00:12:00,21003.80,1841.30,44104.20,48884.90,HRB
2021-01-01 00:13:00,21003.60,1841.20,44104.20,48884.80,HRB
2021-01-01 00:14:00,21003.50,1841.20,44104.20,48884.70,HRB
2021-01-01 00:15:00,21003.00,1841.30,44104.40,48884.70,HRB
2021-01-01 00:16:00,21002.80,1841.40,44104.40,48884.60,HRB
2021-01-01 00:17:00,21002.30,1841.50,44104.60,48884.60,HRB
2021-01-01 00:18:00,21002.20,1841.50,44104.50,48884.50,HRB
2021-01-01 00:19:00,21001.70,1841.50,44104.20,48884.00,HRB
2021-01-01 00:20:00,21001.80,1841.40,44104.40,48884.20,HRB
2021-01-01 00:21:00,21001.80,1841.20,44104.40,48884.20,HRB
2021-01-01 00:22:00,21002.20,1840.90,44104.70,48884.60,HRB
2021-01-01 00:23:00,21002.30,1840.50,44104.60,48884.60,HRB
2021-01-01 00:24:00,21002.40,1840.20,44104.70,48884.70,HRB
2021-01-01 00:25:00,21002.60,1840.00,44104.70,48884.80,HRB
2021-01-01 00:26:00,21002.60,1839.90,44104.60,48884.70,HRB
2021-01-01 00:27:00,21002.50,1839.80,44104.50,48884.50,HRB
2021-01-01 00:28:00,21002.50,1839.90,44104.50,48884.50,HRB
2021-01-01 00:29:00,21002.60,1840.00,44104.50,48884.60,HRB
2021-01-01 00:30:00,21002.90,1840.00,44104.60,48884.80,HRB
2021-01-01 00:31:00,21003.00,1840.00,44104.60,48884.80,HRB
2021-01-01 00:32:00,21003.00,1839.90,44104.50,48884.70,HRB
2021-01-01 00:33:00,21003.10,1839.80,44104.50,48884.80,HRB
2021-01-01 00:34:00,21002.80,1839.60,44104.30,48884.50,HRB
2021-01-01 00:35:00,21002.80,1839.40,44104.20,48884.40,HRB
2021-01-01 00:36:00,21002.70,1839.40,44104.20,48884.30,HRB
2021-01-01 00:37:00,21003.00,1839.50,44104.30,48884.50,HRB
2021-01-01 00:38:00,21003.10,1839.60,44104.50,48884.80,HRB
2021-01-01 00:39:00,21003.20,1839.60,44104.50,48884.80,HRB
2021-01-01 00:40:00,21003.20,1839.60,44104.40,48884.70,HRB
2021-01-01 00:41:00,21003.30,1839.80,44104.20,48884.60,HRB
2021-01-01 00:42:00,21003.30,1839.90,44104.30,48884.70,HRB
2021-01-01 00:43:00,21003.30,1840.00,44104.20,48884.60,HRB
2021-01-01 00:44:00,21002.90,1839.90,44104.40,48884.60,HRB
2021-01-01 00:45:00,21002.90,1839.70,44104.40,48884.60,HRB
2021-01-01 00:46:00,21002.90,1839.60,44104.50,48884.70,HRB
2021-01-01 00:47:00,21002.80,1839.50,44104.40,48884.60,HRB
2021-01-01 00:48:00,21002.50,1839.60,44104.30,48884.30,HRB
2021-01-01 00:49:00,21002.50,1839.50,44104.30,48884.30,HRB
2021-01-01 00:50:00,21002.50,1839.50,44104.30,48884.30,HRB
2021-01-01 00:51:00,21002.90,1839.50,44104.40,48884.60,HRB
2021-01-01 00:52:00,21003.00,1839.50,44104.40,48884.60,HRB
2021-01-01 00:53:00,21003.00,1839.60,44104.50,48884.70,HRB
2021-01-01 00:54:00,21003.20,1839.60,44104.50,48884.80,HRB
2021-01-01 00:55:00,21003.50,1839.70,44104.40,48884.90,HRB
2021-01-01 00:56:00,21003.70,1839.80,44104.30,48884.90,HRB
2021-01-01 00:57:00,21003.70,1839.90,44104.30,48884.90,HRB
2021-01-01 00:58:00,21003.50,1839.90,44104.30,48884.80,HRB
2021-01-01 00:59:00,21003.30,1839.90,44104.40,48884.80,HRB
2021-01-01 01:00:00,21003.20,1839.90,44104.40,48884.70,HRB
2021-01-01 01:01:00,21003.20,1840.00,44104.50,48884.80,HRB
2021-01-01 01:02:00,21003.50,1840.20,44104.40,48884.90,HRB
2021-01-01 01:03:00,21003.80,1840.30,44104.30,48884.90,HRB
2021-01-01 01:04:00,21004.00,1840.40,44104.20,48884.90,HRB
2021-01-01 01:05:00,21004.00,1840.60,44104.30,48885.00,HRB
2021-01-01 01:06:00,21003.70,1840.70,44104.40,48885.00,HRB
2021-01-01 01:07:00,21003.90,1840.70,44104.50,48885.20,HRB
2021-01-01 01:08:00,21003.90,1840.70,44104.50,48885.20,HRB
2021-01-01 01:09:00,21004.00,1840.70,44104.40,48885.10,HRB
2021-01-01 01:10:00,21004.30,1840.70,44104.20,48885.10,HRB
2021-01-01 01:11:00,21004.30,1840.70,44104.20,48885.10,HRB
2021-01-01 01:12:00,21004.20,1840.70,44104.20,48885.00,HRB
2021-01-01 01:13:00,21003.90,1840.60,44104.40,48885.10,HRB
2021-01-01 01:14:00,21003.80,1840.50,44104.40,48885.00,HRB
2021-01-01 01:15:00,21003.80,1840.40,44104.40,48885.00,HRB
2021-01-01 01:16:00,21003.70,1840.20,44104.40,48885.00,HRB
2021-01-01 01:17:00,21003.50,1840.10,44104.20,48884.70,HRB
2021-01-01 01:18:00,21003.50,1840.00,44104.20,48884.70,HRB
2021-01-01 01:19:00,21003.50,1840.00,44104.20,48884.70,HRB
2021-01-01 01:20:00,21003.90,1839.90,44104.40,48885.00,HRB
2021-01-01 01:21:00,21003.90,1839.80,44104.30,48884.90,HRB
2021-01-01 01:22:00,21004.00,1839.80,44104.40,48885.10,HRB
2021-01-01 01:23:00,21004.00,1839.70,44104.40,48885.10,HRB
2021-01-01 01:24:00,21003.80,1839.70,44104.20,48884.80,HRB
2021-01-01 01:25:00,21003.70,1839.70,44104.20,48884.80,HRB
2021-01-01 01:26:00,21003.80,1839.70,44104.10,48884.70,HRB
2021-01-01 01:27:00,21003.90,1839.70,44104.20,48884.90,HRB
2021-01-01 01:28:00,21004.00,1839.70,44104.30,48885.00,HRB
2021-01-01 01:29:00,21003.90,1839.90,44104.30,48884.90,HRB
2021-01-01 01:30:00,21003.90,1839.90,44104.40,48885.00,HRB
2021-01-01 01:31:00,21004.10,1839.90,44104.20,48884.90,HRB
2021-01-01 01:32:00,21004.40,1839.70,44104.10,48885.00,HRB
2021-01-01 01:33:00,21004.40,1839.70,44104.10,48885.00,HRB
2021-01-01 01:34:00,21004.20,1839.60,44104.10,48884.90,HRB
2021-01-01 01:35:00,21004.00,1839.50,44104.30,48885.00,HRB
2021-01-01 01:36:00,21003.90,1839.50,44104.30,48884.90,HRB
2021-01-01 01:37:00,21003.80,1839.60,44104.30,48884.90,HRB
2021-01-01 01:38:00,21003.80,1839.60,44104.30,48884.90,HRB
2021-01-01 01:39:00,21004.20,1839.70,44104.10,48884.90,HRB
2021-01-01 01:40:00,21004.10,1839.80,44104.10,48884.90,HRB
2021-01-01 01:41:00,21004.10,1839.80,44104.20,48884.90,HRB
2021-01-01 01:42:00,21003.80,1839.80,44104.30,48884.90,HRB
2021-01-01 01:43:00,21003.90,1839.90,44104.40,48885.00,HRB
2021-01-01 01:44:00,21003.80,1839.90,44104.40,48885.00,HRB
2021-01-01 01:45:00,21003.80,1839.90,44104.40,48885.00,HRB
2021-01-01 01:46:00,21003.40,1839.80,44104.20,48884.60,HRB
2021-01-01 01:47:00,21003.50,1839.80,44104.10,48884.60,HRB
2021-01-01 01:48:00,21003.50,1839.70,44104.20,48884.70,HRB
2021-01-01 01:49:00,21003.80,1839.70,44104.30,48884.90,HRB
2021-01-01 01:50:00,21003.80,1839.70,44104.30,48884.90,HRB
2021-01-01 01:51:00,21004.00,1839.80,44104.40,48885.10,HRB
2021-01-01 01:52:00,21003.90,1839.70,44104.40,48885.00,HRB
2021-01-01 01:53:00,21003.60,1839.60,44104.20,48884.70,HRB
2021-01-01 01:54:00,21003.60,1839.70,44104.20,48884.70,HRB
2021-01-01 01:55:00,21003.60,1839.80,44104.20,48884.70,HRB
2021-01-01 01:56:00,21003.90,1839.80,44104.30,48884.90,HRB
2021-01-01 01:57:00,21004.00,1839.70,44104.40,48885.10,HRB
2021-01-01 01:58:00,21004.00,1839.80,44104.50,48885.20,HRB
2021-01-01 01:59:00,21003.90,1839.80,44104.40,48885.00,HRB
2021-01-01 02:00:00,21004.30,1839.80,44104.40,48885.20,HRB
2021-01-01 02:01:00,21004.70,1839.70,44104.30,48885.30,HRB
2021-01-01 02:02:00,21004.70,1839.50,44104.30,48885.30,HRB
2021-01-01 02:03:00,21004.50,1839.40,44104.20,48885.10,HRB
2021-01-01 02:04:00,21004.40,1839.20,44104.40,48885.20,HRB
2021-01-01 02:05:00,21004.40,1839.10,44104.40,48885.20,HRB
2021-01-01 02:06:00,21004.50,1839.00,44104.30,48885.20,HRB
2021-01-01 02:07:00,21004.50,1839.00,44104.20,48885.10,HRB
2021-01-01 02:08:00,21004.40,1838.90,44104.20,48885.00,HRB
2021-01-01 02:09:00,21004.40,1838.90,44104.10,48884.90,HRB
2021-01-01 02:10:00,21004.50,1838.90,44104.10,48885.00,HRB
2021-01-01 02:11:00,21004.70,1838.80,44104.20,48885.20,HRB
2021-01-01 02:12:00,21004.70,1838.80,44104.20,48885.20,HRB
2021-01-01 02:13:00,21004.60,1838.90,44104.20,48885.10,HRB
2021-01-01 02:14:00,21004.70,1839.00,44104.30,48885.30,HRB
2021-01-01 02:15:00,21004.30,1839.00,44104.00,48884.80,HRB
2021-01-01 02:16:00,21004.40,1839.10,44104.00,48884.90,HRB
2021-01-01 02:17:00,21004.30,1839.30,44104.00,48884.80,HRB
2021-01-01 02:18:00,21004.70,1839.60,44104.20,48885.20,HRB
2021-01-01 02:19:00,21004.70,1839.70,44104.20,48885.20,HRB
2021-01-01 02:20:00,21004.60,1839.80,44104.20,48885.20,HRB
2021-01-01 02:21:00,21004.80,1840.00,44104.30,48885.30,HRB
2021-01-01 02:22:00,21005.10,1840.20,44104.10,48885.30,HRB
2021-01-01 02:23:00,21005.20,1840.30,44104.10,48885.30,HRB
2021-01-01 02:24:00,21005.10,1840.40,44104.10,48885.30,HRB
2021-01-01 02:25:00,21004.70,1840.40,44104.20,48885.20,HRB
2021-01-01 02:26:00,21004.40,1840.40,44104.20,48885.10,HRB
2021-01-01 02:27:00,21004.30,1840.50,44104.30,48885.10,HRB
2021-01-01 02:28:00,21004.20,1840.50,44104.30,48885.10,HRB
2021-01-01 02:29:00,21004.50,1840.50,44104.10,48885.00,HRB
2021-01-01 02:30:00,21004.40,1840.50,44104.10,48885.00,HRB
2021-01-01 02:31:00,21004.20,1840.40,44104.10,48884.90,HRB
2021-01-01 02:32:00,21003.70,1840.40,44104.20,48884.80,HRB
2021-01-01 02:33:00,21003.50,1840.40,44104.30,48884.80,HRB
2021-01-01 02:34:00,21003.40,1840.50,44104.30,48884.80,HRB
2021-01-01 02:35:00,21003.30,1840.50,44104.40,48884.80,HRB
2021-01-01 02:36:00,21003.50,1840.40,44104.30,48884.80,HRB
2021-01-01 02:37:00,21003.70,1840.40,44104.10,48884.70,HRB
2021-01-01 02:38:00,21003.70,1840.20,44104.10,48884.70,HRB
2021-01-01 02:39:00,21003.60,1840.00,44104.20,48884.70,HRB
2021-01-01 02:40:00,21003.30,1839.80,44104.30,48884.70,HRB
2021-01-01 02:41:00,21003.40,1839.50,44104.30,48884.70,HRB
2021-01-01 02:42:00,21003.30,1839.40,44104.40,48884.80,HRB
2021-01-01 02:43:00,21003.20,1839.20,44104.30,48884.60,HRB
2021-01-01 02:44:00,21003.10,1839.00,44104.10,48884.40,HRB
2021-01-01 02:45:00,21003.10,1838.80,44104.10,48884.40,HRB
2021-01-01 02:46:00,21003.20,1838.60,44104.20,48884.50,HRB
2021-01-01 02:47:00,21003.50,1838.50,44104.30,48884.70,HRB
2021-01-01 02:48:00,21003.50,1838.40,44104.30,48884.70,HRB
2021-01-01 02:49:00,21003.50,1838.30,44104.30,48884.70,HRB
2021-01-01 02:50:00,21003.50,1838.30,44104.30,48884.70,HRB
2021-01-01 02:51:00,21003.30,1838.20,44104.10,48884.40,HRB
2021-01-01 02:52:00,21003.30,1838.10,44104.10,48884.40,HRB
2021-01-01 02:53:00,21003.30,1838.00,44104.10,48884.40,HRB
2021-01-01 02:54:00,21003.80,1837.90,44104.30,48884.80,HRB
2021-01-01 02:55:00,21003.90,1837.70,44104.30,48884.90,HRB
2021-01-01 02:56:00,21003.90,1837.60,44104.40,48885.00,HRB
2021-01-01 02:57:00,21003.80,1837.60,44104.40,48884.90,HRB
2021-01-01 02:58:00,21004.30,1837.60,44104.20,48884.90,HRB
2021-01-01 02:59:00,21004.20,1837.70,44104.10,48884.80,HRB
2021-01-01 03:00:00,21004.30,1837.80,44104.10,48884.90,HRB
2021-01-01 03:01:00,21004.00,1837.80,44104.30,48884.90,HRB
2021-01-01 03:02:00,21004.40,1837.60,44104.30,48885.10,HRB
2021-01-01 03:03:00,21004.40,1837.50,44104.30,48885.10,HRB
2021-01-01 03:04:00,21004.50,1837.40,44104.30,48885.10,HRB
2021-01-01 03:05:00,21004.90,1837.30,44104.10,48885.10,HRB
2021-01-01 03:06:00,21005.00,1837.20,44104.00,48885.10,HRB
2021-01-01 03:07:00,21005.10,1837.10,44103.90,48885.00,HRB
2021-01-01 03:08:00,21004.70,1837.10,44104.00,48884.90,HRB
2021-01-01 03:09:00,21004.50,1837.30,44104.10,48884.90,HRB
2021-01-01 03:10:00,21004.50,1837.40,44104.20,48885.00,HRB
2021-01-01 03:11:00,21004.50,1837.50,44104.20,48885.00,HRB
2021-01-01 03:12:00,21004.20,1837.60,44104.10,48884.80,HRB
2021-01-01 03:13:00,21004.00,1837.70,44104.00,48884.60,HRB
2021-01-01 03:14:00,21004.10,1837.80,44104.10,48884.80,HRB
2021-01-01 03:15:00,21004.20,1837.80,44104.20,48884.90,HRB
2021-01-01 03:16:00,21004.60,1837.90,44104.30,48885.20,HRB
2021-01-01 03:17:00,21004.60,1837.80,44104.30,48885.20,HRB
2021-01-01 03:18:00,21004.70,1837.80,44104.30,48885.20,HRB
2021-01-01 03:19:00,21004.90,1837.80,44104.20,48885.20,HRB
2021-01-01 03:20:00,21005.20,1837.90,44104.10,48885.30,HRB
2021-01-01 03:21:00,21005.30,1838.00,44104.10,48885.30,HRB
2021-01-01 03:22:00,21005.20,1838.00,44104.00,48885.20,HRB
2021-01-01 03:23:00,21004.90,1838.10,44104.50,48885.50,HRB
2021-01-01 03:24:00,21004.90,1838.10,44104.70,48885.70,HRB
2021-01-01 03:25:00,21004.80,1838.20,44104.50,48885.50,HRB
2021-01-01 03:26:00,21004.70,1838.30,44104.50,48885.40,HRB
2021-01-01 03:27:00,21005.20,1838.40,44104.70,48885.80,HRB
2021-01-01 03:28:00,21005.10,1838.30,44104.60,48885.70,HRB
2021-01-01 03:29:00,21005.10,1838.40,44104.50,48885.60,HRB
2021-01-01 03:30:00,21004.70,1838.40,44104.60,48885.50,HRB
2021-01-01 03:31:00,21004.80,1838.40,44104.60,48885.60,HRB
2021-01-01 03:32:00,21004.70,1838.00,44104.60,48885.50,HRB
2021-01-01 03:33:00,21004.70,1838.00,44104.60,48885.50,HRB
2021-01-01 03:34:00,21004.50,1838.00,44104.60,48885.40,HRB
2021-01-01 03:35:00,21004.20,1838.00,44104.60,48885.30,HRB
2021-01-01 03:36:00,21004.50,1838.00,44104.40,48885.20,HRB
2021-01-01 03:37:00,21004.70,1838.00,44104.60,48885.50,HRB
2021-01-01 03:38:00,21004.70,1837.90,44104.60,48885.50,HRB
2021-01-01 03:39:00,21004.70,1837.90,44104.10,48885.00,HRB
2021-01-01 03:40:00,21004.70,1837.80,44104.10,48885.00,HRB
2021-01-01 03:41:00,21004.70,1837.60,44104.50,48885.40,HRB
2021-01-01 03:42:00,21004.50,1837.60,44104.20,48885.00,HRB
2021-01-01 03:43:00,21004.20,1837.60,44104.10,48884.80,HRB
2021-01-01 03:44:00,21004.20,1837.60,44104.10,48884.80,HRB
2021-01-01 03:45:00,21004.60,1837.80,44104.20,48885.10,HRB
2021-01-01 03:46:00,21004.30,1837.80,44104.40,48885.10,HRB
2021-01-01 03:47:00,21004.50,1837.70,44104.40,48885.20,HRB
2021-01-01 03:48:00,21004.30,1837.70,44104.50,48885.20,HRB
2021-01-01 03:49:00,21004.00,1837.70,44104.10,48884.70,HRB
2021-01-01 03:50:00,21004.10,1837.70,44104.10,48884.80,HRB
2021-01-01 03:51:00,21004.10,1837.60,44104.10,48884.80,HRB
2021-01-01 03:52:00,21004.30,1837.80,44104.30,48885.00,HRB
2021-01-01 03:53:00,21004.40,1837.80,44104.30,48885.10,HRB
2021-01-01 03:54:00,21004.40,1837.80,44104.40,48885.20,HRB
2021-01-01 03:55:00,21004.20,1837.80,44104.30,48885.00,HRB
2021-01-01 03:56:00,21003.90,1837.80,44104.10,48884.70,HRB
2021-01-01 03:57:00,21003.70,1837.80,44104.20,48884.70,HRB
2021-01-01 03:58:00,21003.80,1837.90,44104.10,48884.70,HRB
2021-01-01 03:59:00,21004.20,1838.00,44104.30,48885.00,HRB
2021-01-01 04:00:00,21004.00,1838.00,44104.30,48884.90,HRB
2021-01-01 04:01:00,21004.20,1838.20,44104.40,48885.10,HRB
2021-01-01 04:02:00,21004.00,1838.40,44104.40,48885.00,HRB
2021-01-01 04:03:00,21003.90,1838.20,44104.30,48884.90,HRB
2021-01-01 04:04:00,21003.80,1838.20,44104.20,48884.80,HRB
2021-01-01 04:05:00,21003.90,1838.00,44104.30,48884.90,HRB
2021-01-01 04:06:00,21004.20,1837.70,44104.40,48885.10,HRB
2021-01-01 04:07:00,21004.20,1837.50,44104.40,48885.10,HRB
2021-01-01 04:08:00,21004.20,1837.30,44104.40,48885.10,HRB
2021-01-01 04:09:00,21004.60,1837.00,44104.50,48885.30,HRB
2021-01-01 04:10:00,21004.50,1836.80,44104.40,48885.20,HRB
2021-01-01 04:11:00,21004.50,1836.90,44104.40,48885.20,HRB
2021-01-01 04:12:00,21004.70,1836.90,44104.30,48885.20,HRB
2021-01-01 04:13:00,21005.00,1836.80,44104.40,48885.40,HRB
2021-01-01 04:14:00,21005.20,1836.50,44104.40,48885.50,HRB
2021-01-01 04:15:00,21005.30,1836.40,44104.40,48885.50,HRB
2021-01-01 04:16:00,21005.30,1836.30,44104.40,48885.50,HRB
2021-01-01 04:17:00,21005.10,1836.30,44104.30,48885.30,HRB
2021-01-01 04:18:00,21004.90,1836.60,44104.20,48885.20,HRB
2021-01-01 04:19:00,21005.00,1836.90,44104.20,48885.20,HRB
2021-01-01 04:20:00,21005.00,1837.10,44104.30,48885.30,HRB
2021-01-01 04:21:00,21005.30,1837.30,44104.40,48885.50,HRB
2021-01-01 04:22:00,21005.50,1837.50,44104.50,48885.70,HRB
2021-01-01 04:23:00,21005.40,1837.60,44104.50,48885.70,HRB
2021-01-01 04:24:00,21005.50,1837.70,44104.50,48885.70,HRB
2021-01-01 04:25:00,21005.90,1837.80,44104.30,48885.70,HRB
2021-01-01 04:26:00,21006.00,1837.90,44104.20,48885.70,HRB
2021-01-01 04:27:00,21005.90,1838.00,44104.20,48885.60,HRB
2021-01-01 04:28:00,21005.40,1837.90,44104.30,48885.50,HRB
2021-01-01 04:29:00,21005.40,1837.80,44104.30,48885.50,HRB
2021-01-01 04:30:00,21005.40,1837.90,44104.30,48885.50,HRB
2021-01-01 04:31:00,21005.40,1837.90,44104.30,48885.50,HRB
2021-01-01 04:32:00,21005.90,1837.90,44104.10,48885.60,HRB
2021-01-01 04:33:00,21005.80,1837.90,44104.10,48885.50,HRB
2021-01-01 04:34:00,21006.00,1838.00,44104.20,48885.70,HRB
2021-01-01 04:35:00,21005.60,1838.00,44104.30,48885.60,HRB
2021-01-01 04:36:00,21005.50,1838.00,44104.30,48885.60,HRB
2021-01-01 04:37:00,21005.40,1838.00,44104.30,48885.50,HRB
2021-01-01 04:38:00,21005.50,1838.10,44104.40,48885.70,HRB
2021-01-01 04:39:00,21005.20,1838.20,44104.10,48885.30,HRB
2021-01-01 04:40:00,21005.10,1838.10,44104.10,48885.20,HRB
2021-01-01 04:41:00,21005.30,1838.10,44104.20,48885.40,HRB
2021-01-01 04:42:00,21005.60,1838.00,44104.30,48885.60,HRB
2021-01-01 04:43:00,21005.80,1838.10,44104.50,48885.90,HRB
2021-01-01 04:44:00,21006.00,1838.10,44104.50,48886.00,HRB
2021-01-01 04:45:00,21006.10,1837.90,44104.50,48886.00,HRB
2021-01-01 04:46:00,21005.90,1837.50,44104.20,48885.60,HRB
2021-01-01 04:47:00,21005.50,1837.40,44104.10,48885.40,HRB
2021-01-01 04:48:00,21005.30,1837.70,44104.10,48885.30,HRB
2021-01-01 04:49:00,21005.90,1838.00,44104.30,48885.70,HRB
2021-01-01 04:50:00,21006.10,1838.00,44104.50,48886.00,HRB
2021-01-01 04:51:00,21005.70,1837.60,44104.50,48885.80,HRB
2021-01-01 04:52:00,21005.60,1837.00,44104.20,48885.50,HRB
2021-01-01 04:53:00,21005.70,1836.30,44104.00,48885.30,HRB
2021-01-01 04:54:00,21006.20,1835.80,44103.90,48885.40,HRB
2021-01-01 04:55:00,21006.20,1836.10,44104.10,48885.60,HRB
2021-01-01 04:56:00,21005.70,1836.90,44104.20,48885.50,HRB
2021-01-01 04:57:00,21005.20,1836.50,44104.40,48885.50,HRB
2021-01-01 04:58:00,21005.20,1836.40,44104.40,48885.50,HRB
2021-01-01 04:59:00,21005.70,1836.00,44104.40,48885.70,HRB
2021-01-01 05:00:00,21005.60,1836.80,44104.10,48885.40,HRB
2021-01-01 05:01:00,21005.70,1837.90,44104.10,48885.50,HRB
2021-01-01 05:02:00,21005.70,1838.80,44104.50,48885.90,HRB
2021-01-01 05:03:00,21005.70,1839.40,44104.50,48885.90,HRB
2021-01-01 05:04:00,21005.60,1839.50,44104.60,48885.90,HRB
2021-01-01 05:05:00,21005.70,1839.80,44104.60,48886.00,HRB
2021-01-01 05:06:00,21006.00,1839.90,44104.50,48886.00,HRB
2021-01-01 05:07:00,21006.20,1839.80,44104.40,48886.00,HRB
2021-01-01 05:08:00,21006.00,1839.50,44104.00,48885.60,HRB
2021-01-01 05:09:00,21006.10,1839.40,44103.90,48885.50,HRB
2021-01-01 05:10:00,21005.70,1839.00,44104.00,48885.40,HRB
2021-01-01 05:11:00,21005.70,1839.00,44104.10,48885.50,HRB
2021-01-01 05:12:00,21005.60,1839.10,44104.10,48885.50,HRB
2021-01-01 05:13:00,21005.70,1839.00,44104.10,48885.50,HRB
2021-01-01 05:14:00,21005.60,1839.00,44104.10,48885.50,HRB
2021-01-01 05:15:00,21006.00,1839.00,44104.00,48885.50,HRB
2021-01-01 05:16:00,21006.00,1839.00,44104.00,48885.50,HRB
2021-01-01 05:17:00,21006.10,1839.00,44104.00,48885.60,HRB
2021-01-01 05:18:00,21005.80,1839.20,44104.20,48885.60,HRB
2021-01-01 05:19:00,21005.90,1839.20,44104.20,48885.70,HRB
2021-01-01 05:20:00,21006.00,1839.20,44104.30,48885.80,HRB
2021-01-01 05:21:00,21005.90,1839.10,44104.20,48885.70,HRB
2021-01-01 05:22:00,21005.70,1839.00,44104.00,48885.40,HRB
2021-01-01 05:23:00,21005.70,1839.10,44104.10,48885.50,HRB
2021-01-01 05:24:00,21005.80,1839.00,44104.00,48885.50,HRB
2021-01-01 05:25:00,21006.00,1838.90,44104.10,48885.60,HRB
2021-01-01 05:26:00,21006.10,1839.00,44104.20,48885.80,HRB
2021-01-01 05:27:00,21006.10,1838.90,44104.20,48885.80,HRB
2021-01-01 05:28:00,21006.10,1838.90,44104.20,48885.80,HRB
2021-01-01 05:29:00,21005.90,1838.80,44104.10,48885.60,HRB
2021-01-01 05:30:00,21005.70,1838.90,44104.00,48885.40,HRB
2021-01-01 05:31:00,21005.70,1838.90,44104.00,48885.40,HRB
2021-01-01 05:32:00,21005.80,1838.90,44104.00,48885.50,HRB
2021-01-01 05:33:00,21006.00,1838.80,44104.20,48885.70,HRB
2021-01-01 05:34:00,21006.10,1838.90,44104.20,48885.80,HRB
2021-01-01 05:35:00,21006.10,1838.80,44104.30,48885.90,HRB
2021-01-01 05:36:00,21006.00,1838.70,44104.30,48885.80,HRB
2021-01-01 05:37:00,21005.70,1838.70,44104.10,48885.50,HRB
2021-01-01 05:38:00,21005.90,1838.70,44104.00,48885.50,HRB
2021-01-01 05:39:00,21005.90,1838.60,44104.00,48885.50,HRB
2021-01-01 05:40:00,21006.20,1838.50,44104.20,48885.80,HRB
2021-01-01 05:41:00,21006.10,1838.50,44104.30,48885.80,HRB
2021-01-01 05:42:00,21006.10,1838.60,44104.30,48885.80,HRB
2021-01-01 05:43:00,21006.10,1838.80,44104.30,48885.90,HRB
2021-01-01 05:44:00,21005.90,1838.80,44104.20,48885.70,HRB
2021-01-01 05:45:00,21005.80,1839.00,44104.20,48885.60,HRB
2021-01-01 05:46:00,21005.80,1839.00,44104.20,48885.60,HRB
2021-01-01 05:47:00,21006.10,1839.00,44104.30,48885.90,HRB
2021-01-01 05:48:00,21006.30,1839.10,44104.30,48886.00,HRB
2021-01-01 05:49:00,21006.20,1839.30,44104.30,48885.90,HRB
2021-01-01 05:50:00,21006.40,1839.30,44104.40,48886.10,HRB
2021-01-01 05:51:00,21006.10,1839.30,44104.20,48885.80,HRB
2021-01-01 05:52:00,21005.70,1839.00,44104.00,48885.40,HRB
2021-01-01 05:53:00,21005.70,1839.30,44104.00,48885.40,HRB
2021-01-01 05:54:00,21006.20,1839.50,44104.10,48885.70,HRB
2021-01-01 05:55:00,21006.60,1839.50,44104.40,48886.20,HRB
2021-01-01 05:56:00,21006.50,1839.40,44104.10,48885.90,HRB
2021-01-01 05:57:00,21006.60,1839.40,44104.10,48885.90,HRB
2021-01-01 05:58:00,21006.60,1839.50,44104.10,48885.90,HRB
2021-01-01 05:59:00,21006.60,1839.90,44104.10,48885.90,HRB
2021-01-01 06:00:00,21006.70,1840.00,44104.00,48885.90,HRB
2021-01-01 06:01:00,21006.70,1840.00,44104.10,48886.00,HRB
2021-01-01 06:02:00,21006.70,1840.00,44104.10,48886.00,HRB
2021-01-01 06:03:00,21006.70,1840.40,44104.10,48886.00,HRB
2021-01-01 06:04:00,21006.70,1840.50,44104.10,48886.00,HRB
2021-01-01 06:05:00,21006.70,1840.80,44104.10,48886.00,HRB
2021-01-01 06:06:00,21006.50,1840.90,44104.10,48885.90,HRB
2021-01-01 06:07:00,21006.40,1840.90,44104.00,48885.80,HRB
2021-01-01 06:08:00,21006.50,1841.10,44104.00,48885.80,HRB
2021-01-01 06:09:00,21006.90,1841.20,44104.20,48886.20,HRB
2021-01-01 06:10:00,21006.90,1841.20,44104.40,48886.40,HRB
2021-01-01 06:11:00,21006.90,1841.20,44104.50,48886.50,HRB
2021-01-01 06:12:00,21006.60,1841.20,44104.40,48886.20,HRB
2021-01-01 06:13:00,21006.40,1841.30,44104.00,48885.80,HRB
2021-01-01 06:14:00,21006.50,1841.40,44104.00,48885.90,HRB
2021-01-01 06:15:00,21006.30,1841.40,44104.00,48885.80,HRB
2021-01-01 06:16:00,21006.70,1841.50,44104.10,48886.00,HRB
